Name,52 Library Visits in 52 Weeks
Description,"A year-long, joy-first library adventure that turns libraries into places for discovery, creativity, useful life skills, and little weekly quests worth talking about."
Publisher,Chief Clanker for Lesson Hollow
Grade Level,Any
Link,https://lessonhollow.com

Title,Description,Action,URL
Check out a book about disasters or survival,"Find a book about shipwrecks, avalanches, lost explorers, volcano eruptions, or people who made it out of impossible situations. The worse things get on the page, the harder it is to stop reading.",Do,
Check out a mystery book,"Find a mystery that feels deliciously hard to put down. Read the back, make one prediction, and see if the first chapter makes you want to chase clues.",Do,
Check out a fantasy book,"Choose a fantasy book with a world you want to step into. Look for magic, maps, dragons, castles, strange creatures, or a hero with a huge problem.",Do,
Check out a science fiction book,"Pick a science fiction book that promises a future, a spaceship, a robot, another planet, or a strange new invention. Let your brain wander a little farther than usual.",Do,
Check out a funny book,Find a book that looks like it might actually make you laugh out loud. Bonus points if you snort in the middle of the library and have to pretend everything is normal.,Do,
Check out a graphic novel,Choose a graphic novel and pay attention to how the pictures help tell the story. Notice one page where the art makes the moment hit harder.,Do,
Check out a biography,"Find a biography about someone you have heard of or someone completely new to you. Look for a life that feels adventurous, stubborn, surprising, or inspiring.",Do,
Check out a poetry book,"Pick a poetry collection and read until you find a poem that sounds fun, weird, beautiful, or true. Read it twice and see what changes the second time.",Do,
Check out a cookbook,"Choose a cookbook that makes you hungry to learn, not just hungry for snacks. Mark one recipe you would actually want to try with help or on your own.",Do,
Check out a how-to book,"Find a how-to book about something practical or delightfully random. Learn one step, trick, or process that makes you feel more capable than you did ten minutes ago.",Do,
Check out an art book,"Pick an art book full of paintings, design, drawing, fashion, sculpture, or architecture. Find one page you would happily stare at much longer than necessary.",Do,
Check out a history book,"Find a history book on a time period, event, or person that feels alive and dramatic, not dusty and dead. Look for one moment that changed everything.",Do,
Check out a nature book,"Choose a book about animals, weather, forests, oceans, insects, birds, rocks, or ecosystems. Let yourself get interested in something wonderfully specific.",Do,
Check out a sports book,"Find a book about a sport, athlete, team, or big sports moment. See if the story of training, competition, or teamwork pulls you in.",Do,
Check out a music book,"Choose a book about music, instruments, composers, singers, bands, or sound. See what it teaches you about how music gets made or why people love it.",Do,
Check out a language book,"Find a book that helps you explore another language, even if it is just basic words and phrases. Learn a few expressions that make you want to keep going.",Do,
Check out a travel book,"Choose a travel or world culture book and explore a place you have never been. Look for foods, traditions, landscapes, and daily life that make the place feel real.",Do,
Check out a mythology book,"Find myths, legends, folktales, or epic stories from any culture. Pick one story that feels dramatic enough to retell at dinner.",Do,
Check out a craft book,"Pick a book full of crafts, sewing, paper art, jewelry, woodworking, or creative projects. Find one project that looks fun enough to actually try.",Do,
Check out a puzzle or brain teaser book,"Find a book of puzzles, logic challenges, riddles, or math games. Try at least one challenge and see whether it feels satisfying, evil, or both.",Do,
Check out a movie,"Use the library to borrow a movie you have never seen before. Pick something that looks interesting, thoughtful, funny, classic, or just gloriously odd.",Watch,
