Name,"Greek Myths Through Stories, Maps, and Retellings"
Description,"A guided Greek mythology curriculum for families and co-ops who want stories, maps, art, narration, and writing to hang together as one coherent path."
Publisher,Chief Clanker
Grade Level,Elementary
Link,https://lessonhollow.com/curriculum/greek-myths

Title,Description,Action,URL
Read short biographies of 12 Greek gods and goddesses,"Read ""The Olympians"" by Leonard Everett Fischer to start learning the names and roles of the Olympian gods and goddesses",Read,https://archive.org/details/olympiansgreatgo0000fish
Watch a short overview of the Greek pantheon,"Get the big picture of the major gods from ""The Life Guide"" on YouTube before the details pile up",Watch,https://youtu.be/Ri-AoKE42rw?si=l1Mua4jR_rSPxRyN
Draw a map of places that host Greek mythology,Make a simple labeled map so the world of the myths has places and structure,Do,https://en.bilet.com/blog/10-impressive-places-that-host-greek-mythology
Buy and play a card game related to Greek mythology,"Many card games incorporate the characters of Greek myths. Research the available games, choose one, and play it.",Do,https://greekgodsparadise.com/2021/09/09/greek-mythology-card-games-apps/
Create your own god and goddess trading cards,Make trading cards for your favorite Olympians with a picture of the god or goddess on one side and key facts about them on the other side.,Do,https://www.teacherspayteachers.com/Product/Trading-Card-Template-for-Greek-and-Roman-Gods-4104564
"Read ""The Battle of the Olympians and the Titans"" by Cari Meister",Learn the struggle that shaped the world before the heroes arrive,Read,https://archive.org/details/battleofolympian0000meis/mode/2up
Tell the Titan war as a campfire story,Explain the conflict aloud as if you were telling it to friends around a campfire,Do,
"Read ""Cronus the Titan Tells All"" by Eric Braun",See the Titan war from a strong character voice,Read,https://archive.org/details/cronustitantells0000brau/mode/2up
Compare two versions of the Titan story,Notice and discuss what changes when the same myth is told from a different point of view,Do,
"Read ""Persephone"" by Warwick Hutton",Read a strong picture-book telling of Persephone and the underworld,Read,https://archive.org/details/persephone0000hutt
Read The Pomegranate Seeds,Compare another telling of Persephone and notice what details or tone shift,Read,https://archive.org/details/pomegranateseeds0000geri/mode/2up
Compare two Persephone retellings,Write or discuss what stayed the same and what changed across versions,Do,
Make a seasonal wheel for Persephone,Show how the Persephone story explains the cycle of the seasons,Do,
Read The Story of Persephone by Penelope Farmer,Add one more concise retelling and notice what details repeat across versions,Read,https://archive.org/details/storyofpersephon0000farm
Read The Story of Arachne,Meet a myth about pride skill and transformation,Read,https://archive.org/details/storyofarachne00espe
Illustrate the moment of transformation,Draw the turning point in the Arachne story and label the emotion of the scene,Do,
Read The Story of King Midas,Read the Midas story and trace how wish fulfillment becomes a curse,Read,https://archive.org/details/storyofkingmidas00espe
Write a warning from King Midas,Write a short message King Midas would send to someone tempted by greed,Do,
Read The Story of Pygmalion,Read a myth about art longing and the line between making and loving,Read,https://archive.org/details/storyofpygmalion00espe
Discuss what makes a good gift from the gods,Use Pygmalion and Midas to compare blessing desire and consequence,Do,
Read Icarus The Boy Who Flew,Read the core Icarus story in picture-book form,Read,https://archive.org/details/icarusboywhoflew0000wade
Read Daedalus and Icarus by Penelope Farmer,Compare another version of the same myth and track what each one emphasizes,Read,https://archive.org/details/daedalusicarus00farm/mode/2up
Read Icarus by M. S. Mason,Add a third version and compare the emotional tone of the fall,Read,https://archive.org/details/icarus0000mish/mode/2up
Compare three Icarus tellings,Write or narrate what each retelling seems to think the lesson really is,Do,
Design safer wings for escape,Sketch a better escape plan and explain what Daedalus should have changed,Do,
Read Theseus and the Road to Athens,Start the hero arc of Theseus before the labyrinth,Read,https://archive.org/details/theseusroadtoath00espe
Read Theseus and the Minotaur,Follow Theseus into the labyrinth and track the choices that matter most,Read,https://archive.org/details/theseusminotaur00hutt
Read A-maze-ing Minotaur,Use a playful retelling to reinforce the central monster story,Read,https://archive.org/details/amazeingminotaur0000rixj/mode/2up
Build a labyrinth map,Make a visual path through the labyrinth and mark the turning points of the story,Do,
Write Ariadne's advice to Theseus,Write a short note from Ariadne that explains what really matters in the maze,Do,
Read Medusa's Stony Stare,Read a focused version of the Medusa story and note what makes the monster memorable,Read,https://archive.org/details/medusasstonystar0000gund
Compare monster myths,Discuss how Medusa and the Minotaur are alike and how they are different,Do,
Read The Flying Horse The Story of Pegasus,Meet Pegasus and track how a creature becomes part of the heroic world,Read,https://archive.org/details/flyinghorseallab00jane/mode/2up
Read The Story of Pegasus,Compare another Pegasus retelling and note differences in tone or detail,Read,https://archive.org/details/storyofpegasus0000davi/mode/2up
Read Jason and the Argonauts by Robert Byrd,Begin the Jason story with a richly illustrated retelling,Read,https://archive.org/details/jasonargonauts0000byrd/mode/2up
Read Jason and the Golden Fleece,Compare a second version and focus on the quest structure,Read,https://archive.org/details/jasongoldenfleec00fish/mode/2up
Read Jason and the Argonauts by H. H. Cardigan,Use a third version to notice what stays central in the quest narrative,Read,https://archive.org/details/jasonargonauts0000card/mode/2up
